date,steps,caloriesburned,caloriesconsumed,minutesofsleep
11-13-15,5574,2460,778,231
11-14-15,11587,3445,1953,526
11-15-15,9499,2853,1219,369
11-16-15,13788,3590,1990,291
11-17-15,18361,3792,2462,143
11-18-15,14055,3222,1771,503
11-19-15,11927,3092,1650,0
11-20-15,15221,3395,2004,524
11-21-15,8568,2802,1209,269
11-22-15,3284,2177,477,0
11-23-15,9408,3035,1552,378
11-24-15,10261,2843,1262,424
11-25-15,8218,2829,1177,353
11-26-15,9760,3076,1502,444
11-27-15,10769,3242,1711,0
11-28-15,11671,3254,1776,0
11-29-15,14444,3247,1821,244
11-30-15,23313,4012,2743,0
12-1-15,16810,3232,1618,69
12-2-15,10745,3125,1559,0
12-3-15,10784,3165,1600,325
12-4-15,10740,2835,1271,404
12-5-15,8531,2872,1354,328
12-6-15,12738,3072,1579,352
12-7-15,13520,3107,1603,275
12-8-15,15884,3801,2393,398
12-9-15,10026,3062,1449,271
12-10-15,11868,3044,1411,0
12-11-15,12381,3082,1503,268
12-12-15,7157,2766,1216,196
12-13-15,7055,2787,1182,232
12-14-15,9348,2831,1229,0
12-15-15,8566,2711,1038,318
12-16-15,9786,2714,1110,0
12-17-15,8371,2709,1050,0
12-18-15,9428,2917,1331,464
12-19-15,13742,3110,1734,279
12-20-15,15636,3391,1973,321
12-21-15,12778,3145,1678,242
12-22-15,7378,2636,1044,102
12-23-15,0,1789,0,161
12-24-15,6452,2573,962,0
12-25-15,7837,2808,1311,440
12-26-15,6504,2626,1089,339
12-27-15,6444,2604,1030,388
12-28-15,7845,2845,1359,419
12-29-15,12260,3135,1718,0
12-30-15,12154,3050,1567,0
12-31-15,7801,2856,1394,308
1-1-16,10460,2992,1558,488
1-2-16,13837,3265,1841,326
1-3-16,12517,3090,1566,207
1-4-16,10366,3116,1590,242
1-5-16,12127,3241,1760,448
1-6-16,11327,2992,1530,541
1-7-16,11098,3146,1630,278
1-8-16,12395,3174,1812,316
1-9-16,6643,2615,1093,0
1-10-16,8846,2711,1197,380
1-11-16,9642,3013,1472,297
1-12-16,9982,2993,1387,354
1-13-16,6613,2627,1020,336
1-14-16,12161,3128,1560,306
1-15-16,14837,3361,1917,396
1-16-16,16759,3379,1977,0
1-17-16,9602,2878,1314,327
1-18-16,3761,2144,467,254
1-19-16,7456,2543,881,423
1-20-16,16755,3472,2073,345
1-21-16,11937,3218,1729,391
1-22-16,14577,3426,2110,400
1-23-16,17541,3615,2286,434
1-24-16,39000,1801,16,325
1-25-16,6610,2420,756,0
1-26-16,13073,3066,1521,468
1-27-16,9997,2886,1291,336
1-28-16,10707,3092,1592,458
1-29-16,9952,2931,1400,339
1-30-16,9774,3034,1641,342
1-31-16,6260,2787,1277,0
2-1-16,11426,2986,1478,357
2-2-16,10466,2974,1333,328
2-3-16,12866,3199,1703,385
2-4-16,2449,2037,337,248
2-5-16,10434,3110,1544,410
2-6-16,10434,3110,1544,424
2-7-16,12578,3177,1784,401
2-8-16,15373,3182,1729,350
2-9-16,12327,3206,1680,316
2-10-16,10457,2872,1252,376
2-11-16,9900,2662,1098,342
2-12-16,8966,2899,1299,0
2-13-16,8353,2816,1187,333
2-14-16,13907,3235,1813,322
2-15-16,14183,3289,1941,448
2-16-16,8453,2751,589,264
2-17-16,7995,2927,1347,0
2-18-16,6707,2783,1131,305
2-19-16,8109,2804,1146,309
2-20-16,11971,2815,1234,0
2-21-16,11371,2960,1533,317
2-22-16,2190,2038,351,383
2-23-16,6592,2594,958,347
2-24-16,8624,2841,1220,0
2-25-16,8307,2933,1305,243
2-26-16,7941,2816,1184,437
2-27-16,8050,2764,1150,382
2-28-16,9923,3029,1306,0
2-29-16,9504,2844,1322,0
3-1-16,6847,2612,1023,262
3-2-16,11618,3117,1584,166
3-3-16,10450,2897,1292,420
3-4-16,11478,2864,1219,327
3-5-16,10650,2996,1420,420
3-6-16,3103,2228,572,157
3-7-16,6960,2660,1103,302
3-8-16,16699,3220,1664,0
3-9-16,14068,3083,1469,348
3-10-16,18092,3339,1833,267
3-11-16,18530,3307,1766,0
3-12-16,14587,3135,1726,334
3-13-16,9992,2840,1438,0
3-14-16,0,1790,0,275
3-15-16,9336,2538,850,0
3-16-16,15596,3133,1557,0
3-17-16,25385,3960,2556,356
3-18-16,14577,3150,1553,368
3-19-16,16667,3214,1647,388
3-20-16,13361,3870,2548,223
3-21-16,6754,2731,1237,435
3-22-16,5424,2464,859,383
3-23-16,17913,3555,2243,224
3-24-16,14324,3063,1542,274
3-25-16,8049,2503,817,391
3-26-16,11122,3052,1646,254
3-27-16,9570,3021,1587,204
3-28-16,4667,2223,588,64
3-29-16,0,1790,0,457
3-30-16,9781,2648,1009,0
3-31-16,21383,3768,2417,0
4-1-16,20109,3512,2107,321
4-2-16,11130,2814,1176,319
4-3-16,8250,2884,1335,337
4-4-16,8682,2931,1437,78
4-5-16,17535,3314,1731,315
4-6-16,20154,3830,2580,184
4-7-16,23286,4112,2850,425
4-8-16,13004,3048,1472,267
4-9-16,13441,3241,1874,359
4-10-16,10216,3038,1607,379
4-11-16,5634,2304,659,507
4-12-16,17422,3419,1928,306
4-13-16,14475,3179,1696,407
4-14-16,17777,3427,1967,354
4-15-16,19087,3479,1954,365
4-16-16,16290,3501,2166,278
4-17-16,14252,3342,1947,396
4-18-16,8262,2769,1266,404
4-19-16,19450,3486,1926,0
4-20-16,17232,3596,2085,307
4-21-16,16946,3321,1795,0
4-22-16,19183,3464,1964,411
4-23-16,12963,3328,2020,341
4-24-16,6456,2612,1135,430
4-25-16,10413,2863,1411,305
4-26-16,10499,3175,1805,375
4-27-16,17226,3357,1798,237
4-28-16,19784,3631,2070,360
4-29-16,25571,4030,2711,361
4-30-16,17528,3442,1931,374
5-1-16,9831,3061,1651,348
5-2-16,14262,3331,1937,454
5-3-16,13236,2989,1477,347
5-4-16,18588,3796,2360,314
5-5-16,16382,3525,2075,377
5-6-16,21913,3649,2249,406
5-7-16,19023,3539,2112,280
5-8-16,9526,3040,1604,370
